Local,Trabalho,Título,Autores/Orientadores
Centro de Ciencias Juridicas e Economicas,3730,"DESAFIOS E POTENCIALIDADES NA PRODUÇÃO, REUSO E REMIX DE REA: LEVANTAMENTO BIBLIOGRÁFICO","ANA MARIA FERREIRA DE CARVALHO,JADE CAVALCANTI DE SOUZA,NYSIA OLIVEIRA DE Sá"
Centro de Ciencias Juridicas e Economicas,5649,SOCIEDADE DA DESINFORMAÇÃO: A DESINFORMAÇÃO COMO INSUMO,"NYSIA OLIVEIRA DE Sá,PEDRO TEIXEIRA DA CONCEICAO"
Centro de Ciencias Juridicas e Economicas,5797,A literatura infantojuvenil feminista no combate à violência de gênero: mediação de leitura em uma casa de acolhimento para mulheres,"ISABELLA GABRIEL ROBLES,JULIANA PLACIDO DA SILVA,PATRíCIA MALLMANN SOUTO PEREIRA"
Centro de Ciencias Juridicas e Economicas,266,SANEAMENTO NAS ÁREAS MAIS PRECÁRIAS NAS FAVELAS DO RIO DE JANEIRO: O CASO DA SERRA DA MISERICÓRDIA,"MAURO KLEIMAN,MYLENE"
Centro de Ciencias Juridicas e Economicas,2495,Transição energética fluminense e novos mercados,"DAVI GONçALVES GUIMARãES,DEBORAH WERNER,ISADORA BASTOS DE SOUZA"
Centro de Ciencias Juridicas e Economicas,2562,Reclamações nos Serviços de Abastecimento de Água e Esgotamento Sanitário: um estudo de pós−concessão na Região Metropolitana do Rio de Janeiro,"CAROLINE PEREIRA DE LIMA,EMILY BONAGURA NEVES DE SOUZA,SUYÁ QUINTSLR"
Centro de Ciencias Juridicas e Economicas,3775,ELETROMOBILIDADE E DESIGUALDADE SOCIOESPACIAL NO CONTEXTO DA ELETRIFICAÇÃO DA FROTA DE ÔNIBUS PÚBLICO COLETIVO NO NOVO PAC,"REBECCA BASSI DE CASTRO LIMA,ROSANGELA MARINA LUFT"
Centro de Ciencias Juridicas e Economicas,5008,"MOBILIDADE URBANA, TICS E PARTICIPAÇÃO: REFLEXÕES SOBRE A QUALIDADE E EFETIVAÇÃO DOS MODAIS METROPOLITANOS DA RMRJ","DANIEL RODRIGUES DE CARVALHO,ROSANGELA MARINA LUFT"
Centro de Ciencias Juridicas e Economicas,2014,"Quem financia, planeja? Proibição de doações corporativas de campanha e novos agentes protagonistas de projetos de revitalização urbana no Rio de Janeiro.","ERICK SILVA OMENA DE MELO,ISABELA CAMPBELL"
Centro de Ciencias Juridicas e Economicas,2165,Terreiros de Quilombo: o direito à cidade em Santa Rita do Bracuí,"CINTIA ABEL BEZERRA,LAIDYANNE DA SILVA MENDONÇA,RENATO EMERSON NASCIMENTO DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,4069,MORRO DA PROVIDÊNCIA: POR QUE NÃO PERTENCER À PEQUENA ÁFRICA? LEVANTAMENTO HISTÓRICO E CONFIGURAÇÃO DOS ATIVISMOS DO MORRO DA PROVIDÊNCIA COMO FORMA DE RECONHECIMENTO DA REGIÃO. AUTORES E,"RENATO EMERSON NASCIMENTO DOS SANTOS,THAIS DE PAULA DA SILVA"
Centro de Ciencias Juridicas e Economicas,4474,MEMÓRIAS NEGRAS E DESAFIOS CARTOGRÁFICOS NA PEQUENA ÁFRICA,"EMILYN CRISTINA CONCEIÇÃO DA SILVA,IURI MACHADO DE MENDONCA,RENATO EMERSON NASCIMENTO DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,6426,ANALISANDO A REVITALIZAÇÃO DO CENTRO DO RIO DE JANEIRO E OS NOVOS AGENTES PREDOMINANTES,"ERICK SILVA OMENA DE MELO,LUCAS CARDOSO GREGORIO"
Centro de Ciencias Juridicas e Economicas,658,POLARIZAÇÃO E TECNOLOGIA: O CRESCIMENTO ASSIMÉTRICO DA EXTREMA−DIREITA NO BRASIL AUTORES E,"DIOGO MONTEIRO DARIO,LEONARDO DAVID SILVA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,1259,Redes sociais e desestabilização democrática na América Latina: uma análise sobre golpes de Estado e ataques às instituições.,"ANTONIO GABRIEL LOURENCO RIBEIRO,DIOGO MONTEIRO DARIO"
Centro de Ciencias Juridicas e Economicas,1751,O PROTAGONISMO DAS MULHERES NO ENFRENTAMENTOS ÁS MUDANÇAS CLIMÁTICAS NO SUL GLOBAL: UM ENFOQUE NA AMÉRICA LATINA E EM ÁFRICA,"NATALIA PONCIANO,RENATA GUIMARAES REYNALDO"
Centro de Ciencias Juridicas e Economicas,4361,"A Extrema−Direita ibérica (Vox na Espanha, Chega em Portugal) e seu papel de articulação internacional (Foro de Madri)","ARTUR BARCELOS SANTOS FERNANDES,ELIDIO ALEXANDRE BORGES MARQUES,GABRIELA LIMA LAPA E SILVA,ISABELLE RUAS HAUS,NICOLLE FIGUEIREDO PORTO DE SOUSA,OTÁVIO GOMES MIRANDA"
Centro de Ciencias Juridicas e Economicas,5290,"Colonialidade, Necropolítica e Contrato Racial: Fundamentos da Violência Policial Contra Corpos Racializados no Rio de Janeiro","BRUNA DE OLIVEIRA BROCHADO PETRA PIERRE,RENATA GUIMARAES REYNALDO"
Centro de Ciencias Juridicas e Economicas,6589,"Estados de Ausência: Narcotráfico, Governança Paralela e Tecnologias de Poder no Brasil e na Colômbia (2000–2025)","DIOGO MONTEIRO DARIO,PAULO GABRIEL FERREIRA MORAES,SOPHIA SANT'ANNA 2"
Centro de Ciencias Juridicas e Economicas,1386,"Observatório de Governança Oceânica: uma necessidade de mapeamento de atores, discursos e práticas AUTORES E","BRENDA MACHADO DE SOUZA,DANIELE DIONISIO DA SILVA"
Centro de Ciencias Juridicas e Economicas,1388,A Biodiversidade Oceânica e o Tratado do Alto−Mar (Acordo BBNJ),"BRENDA MACHADO DE SOUZA,DANIELE DIONISIO DA SILVA"
Centro de Ciencias Juridicas e Economicas,2699,O descomissionamento de plataformas de petróleo no Brasil como vetor de reposicionamento geopolítico tendo por base o meio ambiente.,"DANIELE DIONISIO DA SILVA,GIULIA LUIZA GOMES DA SILVA TEIXEIRA"
Centro de Ciencias Juridicas e Economicas,2703,Ilhas de Plástico e Fronteiras Invisíveis: lacunas de governança da poluição oceânica e seus impactos no Brasil,"DANIELE DIONISIO DA SILVA,MARIA VICTORIA LIMA DO VALE AURELIANO SOUSA,WALLESWKA LOURENCO GOMES NUNES"
Centro de Ciencias Juridicas e Economicas,2957,Carbono Submerso nos ecossistemas marinhos: um futuro emergente na nova fronteira da governança climática,"DANIELE DIONISIO DA SILVA,LUAN DE SOUSA DE AMORIM,MARIA HELENA DE ANDRADE SILVA"
Centro de Ciencias Juridicas e Economicas,4186,Governança Oceânica e Disputas Geopolíticas em Choke points Marítimos: Vulnerabilidades e Propostas de Cooperação Multilateral,"ANNA MEL LIMA DE ATHAYDE,DANIELE DIONISIO DA SILVA,JULIA DODD ARAUJO"
Centro de Ciencias Juridicas e Economicas,4316,ANÁLISE DA TRANSPARÊNCIA E PARTICIPAÇÃO SOCIAL NA ANVISA: IMPACTOS NA AGENDA REGULATÓRIA E NAS POLÍTICAS PÚBLICAS,"CARLOS BOLONHA,LIVIA CAMPOS BRANDAO"
Centro de Ciencias Juridicas e Economicas,5013,Análise dos dados na Avaliação de Resultado Regulatório (ARR) na ANP: potencial na formulação de políticas públicas,"CARLOS BOLONHA,SHADDE DOS SANTOS DE SOUZA"
Centro de Ciencias Juridicas e Economicas,5588,REDEFININDO LIMITES: O ATIVISMO DO STF E SEU IMPACTO NA LEGITIMIDADE DEMOCRÁTICA BRASILEIRA,"CARLOS BOLONHA,LARISSA PINHEIRO COSTA"
Centro de Ciencias Juridicas e Economicas,6100,VELÁSQUEZ RODRÍGUEZ VS. HONDURAS: BREVE ANÁLISE DA CONSOLIDAÇÃO DA JURISPRUDÊNCIA DA CORTE INTERAMERICANA,"ANA CAROLINA ROZA GUIMARãES,CARLOS BOLONHA"
Centro de Ciencias Juridicas e Economicas,6233,URBANISMO MODERNISTA VERSUS O DIREITO À CIDADE: ONDE FALHAM AS POLÍTICAS URBANAS BRASILEIRAS E CARIOCAS E COMO ALCANÇAR QUALIDADE DE VIDA E SUSTENTABILIDADE,"CARLOS BOLONHA,MATEUS DE PALOS CAMPOS E TEIXEIRA Minicurso (atividade extra). IRID 28- Minicurso: INSTITUCIONALISMO E ESTADO DO BEM−ESTAR SOCIAL: REFLEXÕES SOBRE O BRASIL E A CRISE CONTEMPORÂNEA. | PEX.EXT.UNI..765"
Centro de Ciencias Juridicas e Economicas,100,INSTITUCIONALISMO E ESTADO DO BEM−ESTAR SOCIAL: REFLEXÕES SOBRE O BRASIL E A CRISE CONTEMPORÂNEA.,"CAROLINA MIRANDA CAVALCANTE,FLÁVIO ALVES COMBAT"
Centro de Ciencias Juridicas e Economicas,1530,AUSTERIDADE E A POSSIBILIDADE DA RESSIGNIFICAÇÃO DE SEUS IDEAIS NO CONTEXTO BRASILEIRO,"DANIEL,SANTIAGO DE FREITAS BARRETO"
Centro de Ciencias Juridicas e Economicas,1689,"Cidade de Deus: a produção, pelo poder público, de um território marzinalizado.","ALEX FERREIRA MAGALHAES,MARIANNE MARTINIANO FERNANDES"
Centro de Ciencias Juridicas e Economicas,6125,O DIREITO DAS FAVELAS: uso de espaços públicos nas favelas do Vidigal e da Cachoeirinha: o papel regulador da Associação de Moradores e da UPP − Unidade de Polícia Pacificadora.,"ALEX FERREIRA MAGALHAES,ANDREA PIRES BAPTISTA,ERICK SANTOS DE MOUROS,OSIAS PINTO PEçANHA,ROGÉRIO PEREIRA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,6525,O PLANO DIRETOR DE 2024 E A INSERÇÃO DA CIDADE DO RIO DE JANEIRO NO CIRCUITO GLOBAL DE MERCANTILIZAÇÃO NEOLIBERAL DAS CIDADES,"ALEX FERREIRA MAGALHAES,MARIANA GUIMARAES DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,2768,"ELEIÇÕES, MUNICÍPIOS E SEGURANÇA NACIONAL NA DITADURA BRASILEIRA PÓS−1964 AUTORES E","CLAUDIA PAIVA CARVALHO,LUCAS BARRETO MORAIS"
Centro de Ciencias Juridicas e Economicas,4985,REPLICAÇÃO DA TIPOLOGIA SOCIOESPACIAL PARA A REGIÃO METROPOLITANA DO RIO DE JANEIRO COM A LINGUAGEM DE PROGRAMAÇÃO R,"BRUNA MIRANDA,MARCELO GOMES RIBEIRO 3"
