Local,Trabalho,Título,Autores/Orientadores
Centro de Ciencias Juridicas e Economicas,11,"INFODEMIA, DESINFODEMIA, COMPETÊNCIA EM INFORMAÇÃO E PRÁTICA INFORMACIONAL: INFORMAÇÃO NO EXERCÍCIO DA CIDADANIA","MARIANNA ZATTAR,NYSIA OLIVEIRA DE Sá,THAMIRES MARINHO MIGUEL,VICTOR HUGO MONTEIRO ALVES"
Centro de Ciencias Juridicas e Economicas,6508,O SAMBA E A CRIMINOLOGIA CULTURAL: A LABELING APPROACH COMO PANDEIRO DO MALANDRO,"JEFERSON ARAUJO,SALO DE CARVALHO Oficina Avaliada. IPPUR - Oficina Avaliada Socioinformática | PEX.OFI.1185"
Centro de Ciencias Juridicas e Economicas,771,FERRAMENTAS SOCIOINFORMÁTICAS APLICADAS A PESQUISA-ATIVISMO EM CONFLITOS AMBIENTAIS E TECNOLOGIAS CONTROVERSAS,"EDWIN ALBERTO MUñOZ GAVIRIA,THIAGO DA SILVA FERREIRA Oficina Avaliada. SIAc na INOVATECA 31/05 Tarde | PEX.EXT.UNI.OFI.1146"
Centro de Ciencias Juridicas e Economicas,36,OFICINA PROJETO ATITUDES SUSTENTÁVEIS: JOGOS INTERATIVOS PARA EDUCAÇÃO E POPULARIZAÇÃO DE INOVAÇÃO TECNOLÓGICA.,"DORA CARVALHO SOARES DE SOUZA,GISELLE SANTORO DE CASTRO,HELENA CÂMARA LACÉ BRANDÃO,LAIS VALLECILO DE SOUZA FERREIRA,LUANA RUIZ MACHADO,STEPHANY CARDOSO SARAIVA Oficina Não Avaliada (atividade extra). IPPUR - Ofi N-Ava Constituição Cidadã | PEX..858"
Centro de Ciencias Juridicas e Economicas,5390,35 ANOS DA CONSTITUIÇÃO CIDADÃ,"DIVINA EMANUELA DA SILVA ALVES,RENATA BASTOS DA SILVA,YEDA MARIA RODRIGUES DE ASSUNÇÃO"
Centro de Ciencias Juridicas e Economicas,2525,RESPONSABILIDADE CIVIL DAS PLATAFORMAS VIRTUAIS NO ÂMBITO DO STJ,"ANY CAROLINA GARCIA GUEDES,FLAVIO ALVES MARTINS,LUANA FELIZARDO ALVES,MARIANA MARQUESAN MARTINS"
Centro de Ciencias Juridicas e Economicas,4714,A DECLARAÇÃO DA VONTADE EM CONTRATOS CLICKWRAP: A REVISITAÇÃO DO ART. 104 DO CÓDIGO CIVIL NA DISCIPLINA DOS CONTRATOS ELETRÔNICOS,"ANDRÉIA FERNANDES DE ALMEIDA RANGEL,MARIANA SCOFANO MARTINS"
Centro de Ciencias Juridicas e Economicas,4857,DIREITOS DA PERSONALIDADE NA ESFERA DIGITAL: OS DESAFIOS DO DIREITO À IMAGEM NO METAVERSO,"JULIANA DE SOUSA GOMES LAGE,PIêTRA LAIANY SOUZA ALVES"
Centro de Ciencias Juridicas e Economicas,5549,O EQUILÍBRIO ENTRE A LIBERDADE ECONÔMICA E A RESPONSABILIDADE MERCADOLÓGICA NA ERA DA INTERNET,"DIEGO RODRIGUES BARBOSA,JOYCE MOREIRA DA ROCHA FORTE,REBECCA MOREIRA DA ROCHA FORTE,VERONICA LAGASSI"
Centro de Ciencias Juridicas e Economicas,5931,O PROFILING DE CONSUMIDORES EM CONFORMIDADE COM A LEGISLAÇÃO BRASILEIRA AUTORES E,"GUILHERME MAGALHAES MARTINS,KARINE LOPES DA CRUZ SOUSA"
Centro de Ciencias Juridicas e Economicas,6160,VONTADE VERSUS REPRESENTAÇÃO: AMEAÇAS AOS DIREITOS DA PERSONALIDADE DAS CRIANÇAS E DOS ADOLESCENTES NA ERA DO (OVER)SHARENTING,"ALEXIA DAUANA CORRêA ALVES,BRUNA CALIL DE CARVALHO MACIEL,JULIANA DE SOUSA GOMES LAGE"
Centro de Ciencias Juridicas e Economicas,5115,A TEORIA INSTITUCIONAL E SEUS ASPECTOS CONFIGURADORES: PERSPECTIVA SISTÊMICA E A REALIDADE 1 CONSTITUCIONAL,"CARLOS BOLONHA,LAURA HELENA FERNANDES MAIA,LUCIANA SILVEIRA ARDENTE,VITÓRIA GUEDES VALENTIM DO NASCIMENTO,YURI TAVARES LIMA"
Centro de Ciencias Juridicas e Economicas,5362,CRISE DO FEDERALISMO – UMA COMPARAÇÃO DE SEUS DESDOBRAMENTOS ENTRE OS SISTEMAS BRASILEIRO E NORTE-AMERICANO NA PANDEMIA DO COVID-19,"ANA LUISA FERREIRA VITAL,CARLOS BOLONHA,LETICIA COUTINHO DE SIQUEIRA,LUCIANA SILVEIRA ARDENTE,SHADDE DOS SANTOS DE SOUZA"
Centro de Ciencias Juridicas e Economicas,5640,OS PROCESSOS CONSTITUINTES DO BRASIL E DO CHILE: UMA ANÁLISE SOBRE A CONSTRUÇÃO DA IGUALDADE DE GÊNERO,"GABRIELA FRAGA DE LIMA MENDES DA SILVA,GISELE DOS SANTOS MIRANDA,LILIAN BALMANT EMERIQUE"
Centro de Ciencias Juridicas e Economicas,5681,DEMOCRACIA EM CRISE: O POPULISMO DE ESQUERDA COMO ESTRATÉGIA DE COMBATE AO POPULISMO DE DIREITA,"JOãO PEDRO BABO MONTEIRO,PHILIPPE OLIVEIRA DE ALMEIDA"
Centro de Ciencias Juridicas e Economicas,5834,O CONTRAMAJORITARISMO COMO UM REMÉDIO PARA A DEMOCRACIA “LEIGA” AUTORES E,"CARLOS BOLONHA,LUCIANA SILVEIRA ARDENTE,SAMUEL RAPOSO PARAIZO"
Centro de Ciencias Juridicas e Economicas,5892,O PODER CONTRAMAJORITÁRIO DOS TRIBUNAIS COMO GARANTIDOR DOS DIREITOS FUNDAMENTAIS: “PILAR” DEMOCRÁTICO OU “SEGURO POLÍTICO” DOS CONSTITUINTES?,"BRUNO RODRIGUES VIEIRA,ELEONORA MESQUITA CEIA"
Centro de Ciencias Juridicas e Economicas,3218,"OS DESAFIOS DO DIREITO INTERNACIONAL NO COMBATE À PESCA ILEGAL, NÃO DECLARADA E NÃO REGULAMENTADA","LUANA COSTA E SILVA,SIDNEY GUERRA"
Centro de Ciencias Juridicas e Economicas,4823,O LAWFARE POLITICO SOB A ÓTICA DO COMITÊ DE DIREITOS HUMANOS DA ONU AUTORES E,"CAROLINE PRONER,PATRICK SCALCO"
Centro de Ciencias Juridicas e Economicas,6708,DA BARBÁRIE À GERÊNCIA DO CAOS: UMA ANÁLISE DAS MEDIDAS DE RESSOCIALIZAÇÃO LABORAIS NO COMPLEXO PENITENCIÁRIO SÃO LUÍS,"JOSÉ ROBERTO FRANCO XAVIER,NATáLIA BARBOSA VIANA"
Centro de Ciencias Juridicas e Economicas,6834,CONSTRUÇÕES BIOGRÁFICAS E PRÁTICAS JUDICIÁRIAS CRIMINAIS: UMA ANÁLISE ETNOGRÁFICA DO CASO DO EX-PM PITBULL.,"LUIZ EDUARDO DE VASCONCELLOS FIGUEIRA,TAMIRIS GONçALVES ALMEIDA"
Centro de Ciencias Juridicas e Economicas,3789,MAPEAMENTO DAS ATIVIDADES DE MEDIAÇÃO DE CONFLITOS NAS INSTITUIÇÕES DE ENSINO SUPERIOR DO RIO DE JANEIRO,"ANNA BORGES DO AMARAL OLIVEIRA,JULIANA LOPES FERREIRA,MARIA PACHECO DA COSTA VIEIRA DOS SANTOS,MARILSON SANTANA"
Centro de Ciencias Juridicas e Economicas,6283,A IMPORTÂNCIA DA ASSESSORIA JURÍDICA POPULAR COMO AÇÃO DE EXTENSÃO UNIVERSITÁRIA NA FORMAÇÃO DOS ESTUDANTES NO ÂMBITO DA CAMPANHA DESPEJO ZERO,"ANA CLAUDIA DIOGO TAVARES,FERNANDA MARIA VIEIRA,MARIANA GUIMARAES DE CARVALHO,MARIANA TROTTA DALLALANA QUINTANS,MATHEUS DE OLIVEIRA NASCIMENTO"
Centro de Ciencias Juridicas e Economicas,6516,A ASSESSORIA JURÍDICA POPULAR NA LUTA PELA EFETIVAÇÃO DE DIREITOS NO TERRITÓRIO QUILOMBOLA DA ILHA DA MARAMBAIA,"ANA CLAUDIA DIOGO TAVARES,ANSELMO SALGADO FERREIRA,FRANCISCO TROPE DA SILVA PORTO,MARIANA TROTTA DALLALANA QUINTANS,MATHEUS DE OLIVEIRA NASCIMENTO"
Centro de Ciencias Juridicas e Economicas,6522,GENTRIFICAÇÃO NO PORTO MARAVILHA: ASSESSORIA JURÍDICA POPULAR NA OCUPAÇÃO ZUMBI E A RESISTÊNCIA PELO DIREITO À CIDADE,"ANA CLAUDIA DIOGO TAVARES,MARIA FERNANDA VEIGA GOMES,MARIANA TROTTA DALLALANA QUINTANS,MATHEUS DE OLIVEIRA NASCIMENTO"
Centro de Ciencias Juridicas e Economicas,6647,OCUPAÇÃO VILA CANAÃ: A ARTICULAÇÃO DO NAJUP LUIZA MAHIN E DAS BRIGADAS POPULARES NA LUTA POR MORADIA,"ANA CLAUDIA DIOGO TAVARES,ANTONIO FELIPE BRITO FERNANDES,FERNANDA MARIA VIEIRA,LUANA COSTA E SILVA,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,1942,O MODERNISMO CARIOCA E OS 100 ANOS DO PCB,"CAMILLE DA SILVA VIZZONI DE SOUZA,MARIANA AZEVEDO OLIVEIRA,RENATA BASTOS DA SILVA"
Centro de Ciencias Juridicas e Economicas,2375,DA IDADE MÉDIA À ATUALIDADE: A VIOLÊNCIA DE GENÊRO COM O DECORRER DO CAPITALISMO AUTORES E,"KAREN TALYSSA DA SILVA VIDAL,MARGARITA OLIVERA"
Centro de Ciencias Juridicas e Economicas,3685,O USO DE MOEDAS SOCIAIS E BANCOS COMUNITÁRIOS PARA O DESENVOLVIMENTO LOCAL AUTORES E,"IVANA BENTES,NICHOLAS MILLER TREBAT,PEDRO LUCAS SILVA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,4528,AÇÕES AFIRMATIVAS NO ENSINO SUPERIOR BRASILEIRO: UMA CRÍTICA À INTEGRAÇÃO DO NEGRO NA SOCIEDADE DE CLASSES 2012-2022,"JACKSON ROGER DE OLIVEIRA,JAIME ERNESTO WINTER HUGHES 2 LEÓN"
Centro de Ciencias Juridicas e Economicas,700,PRINCÍPIOS DO DESIGN DA INFORMAÇÃO EM SISTEMAS DE SINALIZAÇÃO PARA EDUCAÇÃO AMBIENTAL: ESTUDO DE CASO PARA PROPOSIÇÃO DE SISTEMA A SER INSTALADO NA ILHA DO BOM JESUS E PARQUE TECNOLÓGICO DA UFRJ,"ANA KARLA FREIRE DE OLIVEIRA,GABRIEL MELLO"
Centro de Ciencias Juridicas e Economicas,801,REDESIGN: UMA PLATAFORMA HABILITANTE PARA INOVAÇÕES SOCIAIS AUTÔNOMAS AUTORES E,"ARLENE PELENDA JULIENNE,BEANY GUIMARAES MONTEIRO,BRENDA SILVA FERNANDES,DIEGO RAMOS MOREIRA,IGOR PACHECO PEREIRA,ISABELLA JAKOBSEN CUNHA,JOAO PEDRO BATISTA DA SILVA,JULIANA RAMOS FERNANDES,SILVANA ROSSETTO"
Centro de Ciencias Juridicas e Economicas,845,ANÁLISE DA ÉTICA NOS PROCESSOS DE APLICAÇÕES DA INTELIGÊNCIA ARTIFICIAL AUTORES E,"ELIZABETH MARIA FREIRE DE JESUS,GUSTAVO FELICIDADE,PRISCILA MACHADO VIEIRA LIMA"
Centro de Ciencias Juridicas e Economicas,2421,DARWINIANA: DESENVOLVIMENTO DE UM JOGO DE REPRESENTAÇÃO (RPG) COMO FERRAMENTA DIDÁTICA PARA AULAS DE CIÊNCIAS SOBRE EVOLUÇÃO,"ALFRED SHOLL-FRANCO,GLAUCIO ARANHA BARROS,LEONARDO AVELAR,VINICIUS DA CUNHA MOURA"
Centro de Ciencias Juridicas e Economicas,2913,CONSTRUÇÃO DA IDENTIDADE VISUAL DO PROGRAMA DE GESTÃO E INOVAÇÃO AUTORES E,"ELIANE RIBEIRO PEREIRA,JOSÉ ROBERTO DOURADO MAFRA,MARCO ANTONIO DE OLIVEIRA MARTINS,RENATA GONçALVES NOVOA"
Centro de Ciencias Juridicas e Economicas,3657,INTELIGÊNCIA ARTIFICIAL: INCORPORAR OU CONTROLAR?,"MARIA LETICIA GALLUZZI NUNES,SIDNEY DE CASTRO OLIVEIRA,VINICIUS DOS SANTOS SOUZA TROVãO"
Centro de Ciencias Juridicas e Economicas,5738,A GESTÃO DA INFORMAÇÃO E SUA CONTRIBUIÇÃO PARA O PROGRAMA DE GESTÃO E INOVAÇÃO AUTORES E,"ELIANE RIBEIRO PEREIRA,JOSÉ ROBERTO DOURADO MAFRA,SAMARA DE SOUZA CANDIDO CALADO FERREIRA"
Centro de Ciencias Juridicas e Economicas,402,A CONSTRUÇÃO BIOGRÁFICA EM CASOS DE GRANDE REPERCUSSÃO: CASO ISABELLA NARDONI AUTORES E,"FELIPE RABELLO DE LIMA DE ALMEIDA CELESTRE,LUIZ EDUARDO DE VASCONCELLOS FIGUEIRA"
Centro de Ciencias Juridicas e Economicas,4108,CONFLITOS AGRÁRIOS NO ESTADO DO RIO DE JANEIRO: UMA ANÁLISE PRÉVIA À CONSTITUIÇÃO DE 1988,"ANA CLAUDIA DIOGO TAVARES,ESTELA PEREIRA ALVES DO VALE,FHYLIPE NASCIMENTO DE MORAIS,FRANCISCO TROPE DA SILVA PORTO,LARA MIRANDA,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,5227,MAPEANDO A (CONTRA) REFORMA AGRÁRIA NO RIO DE JANEIRO,"ANA CLAUDIA DIOGO TAVARES,ESTELA PEREIRA ALVES DO VALE,FHYLIPE NASCIMENTO DE MORAIS,FRANCISCO TROPE DA SILVA PORTO,LARA MIRANDA,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,5727,PODER JUDICIÁRIO E CONFLITOS FUNDIÁRIOS NO TERRITÓRIO FLUMINENSE: UMA ANÁLISE DO CASO DA FAZENDA CAMPOS NOVOS,"ANA CLAUDIA DIOGO TAVARES,FHYLIPE NASCIMENTO DE MORAIS,LAURA GARCIA GONZAGA,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,6687,MOVIMENTOS INTERSECCIONAIS FEMINISTAS LATINO-AMERICANOS E NOVAS GRAMÁTICAS DE DIREITOS HUMANOS,"ANA LAURA MARQUES GERVASIO,VANESSA OLIVEIRA BATISTA BERNER"
Centro de Ciencias Juridicas e Economicas,3612,CARTOGRAFIAS JURÍDICAS: MAPEANDO CONFLITOS FUNDIÁRIOS URBANOS NA CIDADE DO RIO DE JANEIRO,"CHIARA FERRAZ GALHANONE,GISELE FIGUEIREDO DE OLIVEIRA,JULIA ÁVILA FRANZONI,MARIA EDUARDA SANT ANNA LESSA,NATHALIA CUNHA PECANHA,RAQUEL FERREIRA PIRES"
Centro de Ciencias Juridicas e Economicas,3631,CARTOGRAFIAS JURÍDICAS: MAPEANDO CONFLITOS FUNDIÁRIOS URBANOS NO CENTRO DA CIDADE DO RIO DE JANEIRO,"CHIARA FERRAZ GALHANONE,GISELE FIGUEIREDO DE OLIVEIRA,JULIA ÁVILA FRANZONI,MARIA EDUARDA SANT ANNA LESSA,NATHALIA CUNHA PECANHA,RAQUEL FERREIRA PIRES"
Centro de Ciencias Juridicas e Economicas,3719,PRODUÇÃO DO DIREITO E PRODUÇÃO DO ESPAÇO: A PESQUISA-EXTENSÃO DO CARTOGRAFIAS JURÍDICAS,"CHIARA FERRAZ GALHANONE,GISELE FIGUEIREDO DE OLIVEIRA,JULIA ÁVILA FRANZONI,MARIA EDUARDA SANT ANNA LESSA,NATHALIA CUNHA PECANHA,RAQUEL FERREIRA PIRES"
Centro de Ciencias Juridicas e Economicas,5116,GEOGRAFIAS DE MEMÓRIAS NEGRAS NA PEQUENA ÁFRICA DO CENTRO DO RIO DE JANEIRO AUTORES E,"HELISSAN CAVALCANTE VIEIRA,RENATO EMERSON NASCIMENTO DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,5955,MORRO DA PROVIDÊNCIA: POR QUE NÃO PERTENCER À PEQUENA ÁFRICA? LEVANTAMENTO HISTÓRICO E CONFIGURAÇÃO DOS ATIVISMOS DO MORRO DA PROVIDÊNCIA COMO FORMA DE RECONHECIMENTO DA REGIÃO. AUTORES E,"RENATO EMERSON NASCIMENTO DOS SANTOS,THAIS DE PAULA DA SILVA 3"
Centro de Ciencias Juridicas e Economicas,4717,CLÍNICA DE DIREITOS E TRABALHO,"BEATRIZ FARIAS TAVARES,DENISE DE ALMEIDA GUIMARAES,JACKELINE CRISTINA GAMELEIRA CERQUEIRA DA SILVA,JULIANA BENICIO XAVIER,MARYNA MULLER UNSER,NATHALIA MARBLY MIRANDA SANTOS,RENATA VERSIANI SCOTT VARELLA,WALQUIRIA CAMILO DA ROCHA"
Centro de Ciencias Juridicas e Economicas,6056,CÂMARAS DE MEDIAÇÃO PRIVADAS VINCULADAS AO TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO: UM ESTUDO SOBRE SEU FUNCIONAMENTO E COMPOSIÇÃO,"ANNA BEATRIZ PINTO DE SOUZA,JEFFERSON MARCELO ALVES,MARILSON SANTANA,NATÁLIA SOPRANI VALENTE MUNIZ"
Centro de Ciencias Juridicas e Economicas,6145,CÂMARAS DE MEDIAÇÃO PRIVADAS VINCULADAS AO TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO: UM ESTUDO SOBRE SUA COMPOSIÇÃO E FUNCIONAMENTO,"ANNA BEATRIZ PINTO DE SOUZA,JEFFERSON MARCELO ALVES,MARILSON SANTANA,NATÁLIA SOPRANI VALENTE MUNIZ"
Centro de Ciencias Juridicas e Economicas,4472,NOVO GOVERNO LULA E SUA POLÍTICA EXTERNA PARA AMÉRICA LATINA: CENÁRIOS PROSPECTIVOS PARA 2023-2026,"TATIANA TEIXEIRA,VITÓRIA DE OLIVEIRA CALLÉ,VITÓRIA DOS SANTOS MARTINS QUEIROZ"
Centro de Ciencias Juridicas e Economicas,4667,A “SECURITIZAÇÃO” DA IMIGRAÇÃO NO GOVERNO TRUMP,"TATIANA TEIXEIRA,VITÓRIA DE OLIVEIRA CALLÉ"
Centro de Ciencias Juridicas e Economicas,4882,CHINA E OS TRATADOS DESIGUAIS DAS GUERRAS DO ÓPIO,"ANA CAROLINA MASCARENHAS DA SILVA,MARIA FERNANDA CSáSZáR LIMA FERREIRA,MAURICIO METRI"
Centro de Ciencias Juridicas e Economicas,6004,AS INSTITUIÇÕES FINANCEIRAS DOS BRICS E A AMEAÇA À HEGEMONIA MONETÁRIA DOS ESTADOS UNIDOS,"JOÃO PEDRO BATISTA NEGRÃO,TATIANA TEIXEIRA,VITOR MARTINS MACHADO BRAGA"
Centro de Ciencias Juridicas e Economicas,6119,PAZ PUNITIVA OU NÃO? A ALEMANHA NOS CONTEXTOS DOS ACORDOS PÓS-SEGUNDA GUERRA MUNDIAL,"ALICE VERMELHO LEAO CAMARGO,MAURICIO METRI"
Centro de Ciencias Juridicas e Economicas,1076,"UM ESTUDO DA DESJUDICIALIZAÇÃO DO PROCESSO CIVIL BRASILEIRO: A VIABILIDADE DOS PROJETOS DE LEI ACERCA DE DIVÓRCIO, INVENTÁRIO E PARTILHA, E USUCAPIÃO","AMANDA JAGL RODRIGUES CARDOSO,MARCIA CRISTINA XAVIER DE SOUZA"
Centro de Ciencias Juridicas e Economicas,905,DIREITOS DA PERSONALIDADE: A IMAGEM DA PESSOA CAPTURADA EM BENS PÚBLICOS DE USO COMUM DO POVO E UTILIZADA POR TERCEIROS NO MUNDO DIGITAL.,"FABIANA RODRIGUES BARLETTA,IGOR GUINDANI,RONDINELLE DA SILVA FERREIRA"
Centro de Ciencias Juridicas e Economicas,1663,AS DIRETIVAS ANTECIPADAS DE VONTADE NO ÂMBITO DO DIREITO A MORTE DIGNA AUTORES E,"BEATRIZ DE OLIVEIRA RUAS,FABIANA RODRIGUES BARLETTA"
Centro de Ciencias Juridicas e Economicas,5837,O PROCESSO DE TRANSMISSÃO DA HERANÇA DIGITAL IMPLICA NA VIOLAÇÃO DO DIREITO À PRIVACIDADE DA PESSOA FALECIDA?,"GIOVANA MONTEIRO DE AGUIAR CAVALCANTE,JULIANA DE SOUSA GOMES LAGE,LORENA MENDES DE OLIVEIRA,YASMIN SILVA BUENO BARAGAO"
Centro de Ciencias Juridicas e Economicas,6615,CORPO E PODER: UMA ANÁLISE DA ESTERILIZAÇÃO DA AUTONOMIA DAS MULHERES NO BRASIL AUTORES E,"CÁSSIO MONTEIRO RODRIGUES,JHENIFFER MARIANA SAUVESUK"
Centro de Ciencias Juridicas e Economicas,4419,PÓS-FASCISMO TRANSNACIONAL?: O VOX E UMA ANÁLISE DAS CORRELAÇÕES ENTRE A EXTREMA-DIREITA ESPANHOLA E LATINOAMERICANAS,"ELIDIO ALEXANDRE BORGES MARQUES,LENIN CONRADO GOMES FERREIRA,LUCAS ALVES DE OLIVEIRA"
