Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,3434,"INFLUÊNCIA DAS ATIVIDADES MICROBIANAS NA DISSOLUÇÃO DO FERRO DOS SEDIMENTOS DO RIO DOCE E GUALAXO DO NORTE APÓS O ROMPIMENTO DA BARRAGEM DO FUNDÃO (MARIANA, MG)","ALEX SILVA SANTOS,CAROLINA NEUMANN KEIM"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1313,"DETERMINAÇÃO DA FREQUÊNCIA DA EXCREÇÃO DOS AGENTES ASSOCIADOS AO COMPLEXO DA DOENÇA RESPIRATÓRIA FELINA, NA CIDADE DO RIO DE JANEIRO","GABRIELLA DA SILVA MENDES,BEATRIZ DIAS CRUZ,VICTOR LUIZ LOPES DA SILVA,NORMA SUELY DE OLIVEIRA SANTOS,ARIANE RIBEIRO AMORIM,PATRíCIA SOARES FLORES,ALEXANDRA CARIDADE"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1246,ANÁLISE DE CARACTERÍSTICAS DA RESISTÊNCIA ANTIMICROBIANA EM AMOSTRAS DA LINHAGEM USA100 (ST5- II) ISOLADAS EM HOSPITAIS DO RIO DE JANEIRO,"CAROLINA DE OLIVEIRA WHITAKER,BRUNA MARQUES DE SOUZA,LORRAYNE CARDOSO GUIMARÃES,ANDREIA DAMASCO,THAINA MIRANDA DA COSTA,KÁTIA REGINA NETTO DOS SANTOS"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1984,AVALIAÇÃO DE UMA COMUNIDADE BACTERIANA OBTIDA DA ÁGUA DA LAGOA DE JACAREPAGUÁ (RJ) EM FUNÇÃO DA PRESENÇA DE MICROCISTINA (CIANOTOXINA),"LETÍCIA SILVA DO NASCIMENTO,ALLAN AMORIM SANTOS,ANA BEATRIZ PACHECO,VALÉRIA FREITAS DE MAGALHÃES"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,4522,EFEITO DA ATIVAÇÃO DO RECEPTOR P2X7 EM CÉLULA EPITELIAL INTESTINAL HUMANA INFECTADA POR TOXOPLASMA GONDII,"STHEFANI RODRIGUES BATISTA DA SILVA,ALINE CRISTINA ABREU MOREIRA DE SOUZA,ROSSIANE CLAUDIA VOMMARO,ROBSON COUTINHO-SILVA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1316,EFICÁCIA DA LAMIVUDINA NO TRATAMENTO DE FELINOS DOMÉSTICOS (FELIS CATUS) PERSISTENTEMENTE INFECTADOS PELO VÍRUS DA LEUCEMIA FELINA (FELV),"GABRIELLA DA SILVA MENDES,VICTOR LUIZ LOPES DA SILVA,BEATRIZ DIAS CRUZ,ALEXANDRA CARIDADE,PATRíCIA SOARES FLORES,ARIANE RIBEIRO AMORIM,NORMA SUELY DE OLIVEIRA SANTOS"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,2105,ADAPTAÇÃO DE GRÃOS DE KEFIR EM EXTRATO DE MALTE PARA APLICAÇÃO NA FERMENTAÇÃO DE BEBIDAS PROBIÓTICAS NÃO LÁTICAS,"SCARLATE NOBRE LINHARES,MARCO ANTONIO LEMOS MIGUEL,JOSÉ ROBERTO ASSIS RIBEIRO"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1251,PERFIL DO USO DE ANTIMICROBIANOS INJETÁVEIS EM UMA UNIDADE DE PRONTO ATENDIMENTO DO RJ PARA O TRATAMENTO DE INFECÇÕES DOS TRATOS URINÁRIO E RESPIRATÓRIO EM CRIANÇAS E IDOSOS,"LEONARDO BITTENCOURT DOS SANTOS,THIAGO BOTELHO AZEREDO,MILENE RANGEL DA COSTA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1996,CARACTERIZAÇÃO ESTRUTURAL E ESTABILIDADE DE PARTÍCULAS SEMELHANTES A VÍRUS (VLPS) BASEADAS NO BACTERIÓFAGO PP7,"THATIANE VIEIRA CRUZ,ANA CLARA VICENTE DOS SANTOS,RENATA TRAVASSOS DE LIMA,JERSON LIMA DA SILVA,ANDRE MARCO DE OLIVEIRA GOMES,ANDREA CHEBLE DE OLIVEIRA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1243,PRODUÇÃO DE BIOFILME E ASPECTOS ASSOCIADOS EM AMOSTRAS DE STAPHYLOCOCCUS AUREUS RESISTENTES À METICILINA DA LINHAGEM USA100 (ST5-II) PREVALENTES EM HOSPITAIS DO RIO DE JANEIRO,"BRUNA MARQUES DE SOUZA,CAROLINA DE OLIVEIRA WHITAKER,LORRAYNE CARDOSO GUIMARÃES,KÁTIA REGINA NETTO DOS SANTOS"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1330,DETECÇÃO DE ROTAVÍRUS DA ESPÉCIE G (RVG) EM AMOSTRAS FECAIS DE AVES DE POEDEIRAS,"NORMA SUELY DE OLIVEIRA SANTOS,BEATRIZ ROLIM DE ALMEIDA VIEIRA DA CUNHA,MARIANA SIQUEIRA PINHEIRO,GABRIELLA DA SILVA MENDES,ARIANE RIBEIRO AMORIM"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,4454,PRESENÇA E FUNÇÃO DE QUITINASES EM VESÍCULAS EXTRACELULARES PRODUZIDAS PELO PATÓGENO FÚNGICO HISTOPLASMA CAPSULATUM.,"ALESSANDRO VALDEZ,TAIANE NASCIMENTO DE SOUZA,LEONARDO NIMRICHTER"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1271,"ALTERAÇÕES NA EXPRESSÃO GÊNICA E NA MORFOLOGIA DE INSETOS DA ESPÉCIE ONCOPELTUS FASCIATUS (HEMIPTERA, LYGAEIDAE) INFECTADOS POR LEPTOMONAS WALLACEI (TRYPANOSOMATIDAE)","FERNANDA DE ANDRADE MELO DA SILVEIRA,FELIPE DE ALMEIDA DIAS,LUIZ RICARDO DA COSTA VASCONCELLOS,MARCOS SORGINE,INÊS CORRÊA GONÇALVES,ANGELA HAMPSHIRE DE CARVALHO SANTOS LOPES"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,2993,CARACTERÍSTICAS FENOTÍPICAS E MOLECULARES DE ENTEROCOCCUS FAECALIS E ENTEROCOCCUS FAECIUM RESISTENTES A QUINOLONAS ISOLADOS DA MICROBIOTA INTESTINAL DE AVES SILVESTRES NO RIO DE JANEIRO,"CAROLINE DE SOUZA CARDOSO,ANDRéA DE ANDRADE RANGEL DE FREITAS,LUCIA MARTINS TEIXEIRA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,540,POSSÍVEIS MÉTODOS PARA RECUPERAÇÃO DE ÍONS CD2+ DE BIOMASSA DE CUPRIAVIDUS METALLIDURANS GENETICAMENTE MODIFICADA E SUA APLICABILIDADE PARA EFLUENTES INDUSTRIAIS.,"HENRIQUE BOMFIM PINHEIRO,NEMANJA JANKOVIC,MAURO DE FREITAS REBELO"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,2982,PAPEL DOS MASTÓCITOS NA ANGIOGÊNESE EM MODELO DE INFECÇÃO POR TRYPANOSOMA CRUZI,"RHAYSA MOTA MACIEL,ERIK SVENSJö,LUCAS VELLASCO DE MATTOS,RAFAELA RANGEL SERRA,CARLOS ALBERTO BULANT,CARLA EPONINA CARVALHO PINTO,PABLO JAVIER BLANCO,JULIO SCHARFSTEIN"
