Local,Trabalho,Título,Autores/Orientadores
Centro de Ciencias Juridicas e Economicas,17,EDUCAÇÃO EM INFORMAÇÃO NO COMBATE À DESINFORMAÇÃO,"BRUNA CASTRO,LAURA DE AZEREDO SANTOS,MARIANNA ZATTAR,NYSIA OLIVEIRA DE Sá,RAPHAELLA TEODORO DA SILVA,RUTE DA SILVA CAVALCANTI"
Centro de Ciencias Juridicas e Economicas,1267,DA DESCOBERTA DAS CAIXAS ÀS MÃOS DO PEQUENO LEITOR. RELADO DE EXPERIÊNCIA DE DISTRIBUIÇÃO DE LIVROS.,"FABIANA AUGUSTA DO NASCIMENTO RITA MOCO,LUCIA FIDALGO"
Centro de Ciencias Juridicas e Economicas,2189,REVITALIZAÇÃO E EXPANSÃO DA BIBLIOTECA COMUNITÁRIA NA VILA RESIDENCIAL DA UFRJ: UM COMPROMISSO COM O COLETIVO.,"CARLA BEATRIZ MARQUES FELIPE,DANILO PESTANA DE FREITAS,MARCOS PAULO ALVES MESQUITA,PATRíCIA MALLMANN SOUTO PEREIRA"
Centro de Ciencias Juridicas e Economicas,3131,PLANEJAMENTO DE ESPAÇOS PARA A IMPLANTAÇÃO DE BIBLIOTECA DENTRO DE UNIDADE ESCOLAR,"ELISETE DA SILVA BEZERRA VENANCIO,FABIANA AUGUSTA DO NASCIMENTO RITA MOCO,GABRIEL RODRIGUES GOMES,NIKIFOROS JOANNIS PHILYPPIS JUNIOR"
Centro de Ciencias Juridicas e Economicas,4428,"REPOSITÓRIO DIGITAL HUET PARA EDUCAÇÃO DE SURDOS: POVOAMENTO DE OBJETOS DIGITAIS DE APRENDIZAGEM, ACADÊMICOS E CULTURAIS","LUIS FELIPE DA CONCEICAO LOUREIRO,MARIA JOSE VELOSO DA COSTA SANTOS,THAMIRES ANELLI RIBEIRO"
Centro de Ciencias Juridicas e Economicas,6385,<p>INTERSEÇÃO DE CONHECIMENTOS: A GESTÃO COMO FERRAMENTA PARA ALAVANCAGEM DE NEGÓCIOS NA INYAGA</p>,"ELIANE RIBEIRO PEREIRA,PABLO DOS SANTOS DA SILVA,SAMARA DE SOUZA CANDIDO CALADO FERREIRA"
Centro de Ciencias Juridicas e Economicas,407,A INSTITUCIONALIZAÇÃO DA POLÍTICA NACIONAL DE ERRADICAÇÃO DO TRABALHO ESCRAVO COMTEMPORÂNEO SOB A ÓTICA DA ABORDAGEM DIREITO E POLÍTICAS PÚBLICAS (DPP).,"CARLOS BOLONHA,THIAGO TEIXEIRA DE JESUS"
Centro de Ciencias Juridicas e Economicas,656,<p>A ADPF N.º 601/19 E O CASO NEW YORK TIMES CO. V. USA: UMA ANÁLISE À LUZ DA TEORIA DO CONSTITUTIONAL BORROWING</p>,"CARLOS BOLONHA,THAIANA CONRADO NOGUEIRA"
Centro de Ciencias Juridicas e Economicas,1174,A SITUAÇÃO ATUAL DOS SERVIÇOS DE TRANSPORTE METROVIÁRIOS E FERROVIÁRIOS FLUMINENSES E A ATUAÇÃO DA AGETRANSP NO SEU PAPEL COMO AGÊNCIA REGULADORA DAS CONCESSÕES,"CARLOS BOLONHA,CASSIO FABIANO MENDES SILVA"
Centro de Ciencias Juridicas e Economicas,2020,O SUPREMO TRIBUNAL FEDERAL: DA LEGALIDADE AUTORITÁRIA AO ATIVISMO JUDICIAL AUTORES E,"CARLOS BOLONHA,DANIEL ANUNCIACAO DOS SANTOS"
