Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,5895,BIBLIOPEGIA ANTROPODÉRMICA,"ANA PAULA DIAS PACHECO,ANDRE VIEIRA DE FREITAS ARAUJO"
Centro de Ciencias Juridicas e Economicas,1086,SAMBA & RESISTENCIA: O SAMBA COMO FERRAMENTA DA ARTE POLÍTICA PARA EMANCIPAÇÃO DOS DIREITOS HUMANOS,"JEFERSON ARAUJO,JULIA ÁVILA FRANZONI"
Centro de Ciencias Juridicas e Economicas,5354,UNIDADE DE SUPORTE À INOVAÇÃO SOCIAL DA UFRJ E A CARTOGRAFIA AFETIVA DO SAMBA NA CIDADE,"JOAO FELIPE WERNECK RUÓTOLO MIGUEL,DENIS MATTOS,RITA DE CASSIA MONTEIRO AFONSO,PAULO CESAR LOPES PEREIRA e-"
Centro de Ciencias Juridicas e Economicas,3325,O BRASIL NO HAITI: UMA ANÁLISE CRÍTICA DA MINUSTAH,"LUCAS MACHADO,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,5480,"MULHERES, PAZ E CONFLITOS INTERNACIONAIS: AS RESOLUÇÕES DA ONU NO CONSELHO DE SEGURANÇA E A GUERRA DO IÊMEN","LUMA MARIATH,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,2840,CAMPOS DE DETENÇÃO LGBTI NA CHECHÊNIA EM 2017: O PAPEL DAS INSTITUIÇÕES INTERNACIONAIS NA LUTA DE DIREITOS LGBTI E O CONTROLE DE CORPOS PELO ESTADO.,"MARCO ANDRÉ TEIXEIRA CARIDADE JUNIOR,HENRIQUE RABELLO DE CARVALHO e-"
Centro de Ciencias Juridicas e Economicas,6439,FAST FASHION E EXPLORAÇÃO DA MÃO DE OBRA IMIGRANTE: PERCEPÇÕES A PARTIR DO DOCUMENTÁRIO “THE TRUE COST”,"HENRIQUE RABELLO DE CARVALHO,STARLLAYNE LAFFAYETE"
Centro de Ciencias Juridicas e Economicas,4977,"O PROGRAMA MAIS MÉDICOS, SEUS IMPACTOS POSITIVOS E RELEVÂNCIA NAS POLÍTICAS PÚBLICAS E EXTERNA DO BRASIL","IASMIN GABRIELE NASCIMENTO DOS SANTOS,HENRIQUE RABELLO DE CARVALHO e-"
Centro de Ciencias Juridicas e Economicas,5343,A POLÍTICA EXTERNA BRASILEIRA PARA REFUGIADOS SOB A PERSPECTIVA DA POLÍTICA EXTERNA COMO POLÍTICA PÚBLICA: UMA ANÁLISE DO GOVERNO LULA (2003-2010),"GUILHERME AUGUSTO LARSEN DO AMARAL,HENRIQUE RABELLO DE CARVALHO,LORENZO PREVATTO,VICTOR KRANZ ESPÍNDOLA,JOÃO LUIZ DO COUTO BAPTISTA"
Centro de Ciencias Juridicas e Economicas,3044,MEMÓRIAS DO MANGUE: (RE)CONSTRUÇÃO HISTÓRICA E SOCIOESPACIAL DA PROSTITUIÇÃO NO RIO DE JANEIRO,"LUCAS BERNARDO DIAS,NIVIA DE LIMA PEIXOTO,SORAYA SILVEIRA SIMõES"
Centro de Ciencias Juridicas e Economicas,5415,CASO DA FAZENDA BRASIL VERDE: VIOLAÇÕES DOS DIREITOS HUMANOS SOB A PERSPECTIVA DO ECOFEMINISMO,"MARIA PAULA MARINI TAHAN DE CARVALHO PINHEIRO,DORA BUARQUE DE HOLLANDA,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,5333,DA ELITE PARA A ELITE: COMO O GÊNERO E A RAÇA DIFICULTAM NO INGRESSO A CARREIRA DIPLOMÁTICA?,"HENRIQUE RABELLO DE CARVALHO,ALICE MARIA DOS SANTOS GOMES e-"
Centro de Ciencias Juridicas e Economicas,3311,OS FILHOS SEM PÁTRIA: O LUGAR DO APÁTRIDA NO SISTEMA INTERNACIONAL E O PRIMEIRO RECONHECIMENTO DE APATRIDIA NO BRASIL,"AMANDA CAZATTI BELISARIO,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,3041,A CRISE IDENTITÁRIA DOS ESTADOS UNIDOS E A BUSCA DA RETOMADA DE SUA HEGEMONIA MUNDIAL ANALISADA SOBRE AS LENTES DE SAMUEL HUNTINGTON E BENEDICT ANDERSON,"MARCUS VINICIUS VILANOVA GRALHA,ALLANA CAMPBELL CUNHA PIRES SILVA,MARIA CLARA CARVALHO DE FREITAS,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,5916,IDENTIDADE DESLOCADA: ENTENDENDO A CRISE DOS ROHINGYA EM MIANMAR SOB UMA PERSPECTIVA DE MIGRAÇÕES FORÇADAS,"ELISA BLUNT VILLELA,JULIA MALLMANN,ÍVEA RAFAELLA LOBATO MELO,MARCELLO CORREA LUIZ,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,3136,CONTROLE DE CORPOS PELO ESTADO: A CONDIÇÃO DE REFUGIADO POR ORIENTAÇÃO SEXUAL OU IDENTIDADE DE GÊNERO,"MARCO ANDRÉ TEIXEIRA CARIDADE JUNIOR,MARCUS VINICIUS VILANOVA GRALHA,FLAVIA GUERRA CAVALCANTI e-"
Centro de Ciencias Juridicas e Economicas,6064,INTELIGÊNCIA ARTIFICIAL - POSSIBILIDADES PARA UM FUTURO MELHOR?,"JOÃO LUIZ DO COUTO BAPTISTA,SANDRA MARIA BECKER TAVARES"
Centro de Ciencias Juridicas e Economicas,3268,A ASSOCIAÇÃO DAS MULHERES DE TUNGTEIYA COMO UM CONTRAPONTO AO PRODUTO DA DIVISÃO SEXUAL DO TRABALHO E SEUS IMPACTOS ECONÔMICOS.,"ANA CLARA FOLY BARBOSA,HENRIQUE RABELLO DE CARVALHO"
Centro de Ciencias Juridicas e Economicas,5285,A CRISE DA LÍBIA E A ESTRUTURAÇÃO DO ESTADO DE MAAFA,"HENRIQUE RABELLO DE CARVALHO,CARLOS PAULO FALCAO CANDIDO DA SILVA,LUIZ DANIEL COSTA DE SOUZA MARQUES,LUCAS RODRIGUES SILVA"
Centro de Ciencias Juridicas e Economicas,1964,A DOLARIZAÇÃO DO EQUADOR COMO LIMITADOR PARA A MUDANÇA ESTRUTURAL E MELHOR INSERÇÃO INTERNACIONAL DO PAÍS: UM ESTUDO DE CASO DOS GOVERNOS DE RAFAEL CORREA 2007-2017.,"MISHELL GEOCONDA PAVÓN ABALCO,MAURICIO METRI"
Centro de Ciencias Juridicas e Economicas,3788,COMO ELABORAR UM ROTEIRO DE MATERIAL AUDIOVISUAL PARA CIÊNCIAS HUMANAS,"DANIELE DIONISIO DA SILVA,BERNARDO SARMENTO PEREIRA,GABRIELA PAULUCCI DA HORA VIANA"
Centro de Ciencias Juridicas e Economicas,4246,PERSPECTIVAS ESTRATÉGICAS AO LONGO DA HISTÓRIA E COMO NASCEU O CONCEITO DE SEGURANÇA MARÍTIMA.,"DANIELE DIONISIO DA SILVA,VINÍCIUS RICARDO FERREIRA JANICK"
Centro de Ciencias Juridicas e Economicas,6590,QUESTÃO DE GÊNERO,"MARIA MELLO DE MALTA,KAMILLA NEVES DA SILVA"
Centro de Ciencias Juridicas e Economicas,1113,POLÍTICAS PÚBLICAS: CONTRIBUIÇÕES DO CAMPO PARA A ANÁLISE DE POLÍTICA DE DEFESA,"ADRIANA MARQUES,LUÃ BRAGA"
Centro de Ciencias Juridicas e Economicas,5606,ENTRE SUPREMACIA CONSTITUCIONAL E “SENSAÇÃO DE IMPUNIDADE”: O CASO DA EXECUÇÃO PROVISÓRIA DA PENA NO PROJETO ANTICRIME,"HAMILTON FERRAZ,FÁBIO PRUDENTE NETTO,VITOR JORGE GONÇALVES VASCONCELOS"
Centro de Ciencias Juridicas e Economicas,3393,PARTICULARIDADES DO MECANISMO DO JUDICIAL REVIEW E O SEU PAPEL NA MANUTENÇÃO DA DEMOCRACIA,"GUSTAVO PARMA,FREDERICO AUGUSTO AUAD DE GOMES FILHO,CARLOS BOLONHA"
Centro de Ciencias Juridicas e Economicas,6042,SEPARAÇÃO DOS PODERES E DESENHO INSTITUCIONAL: A TEORIA DOS DIÁLOGOS INSTITUCIONAIS NA CONSTITUIÇÃO DE 1988,"RODRIGO SOARES DA SILVA,GUSTAVO RODRIGUES BARBOSA DOS SANTOS,DANIEL FELIPE DUARTE DE GOUVEA ARAUJO,DANIEL FERNANDES GALVÃO,CARLOS BOLONHA,LUCIANA SILVEIRA ARDENTE"
Centro de Ciencias Juridicas e Economicas,4451,"CELERIDADE PROCESSUAL, EXCESSIVIDADE NORMATIVA E ATIVISMO JUDICIAL: O CONTRASSENSO DO FUNCIONALISMO INSTITUCIONAL BRASILEIRO","MATHEUS FERREIRA,VINICIUS MACOMINI FLORENCIO GARCIA,CARLOS BOLONHA,LUCIANA SILVEIRA ARDENTE"
Centro de Ciencias Juridicas e Economicas,3193,A LIBERDADE DE EXPRESSÃO: DIÁLOGOS INSTITUCIONAIS OU MONÓLOGOS SOBREPOSTOS?,"GIULIA ALVES MAIA,SIDDHARTA LEGALE FERREIRA,TAYARA CAUSANILHAS"
