Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,4597,O USO DAS TÉCNICAS DO TEATRO DO OPRIMIDO PELO NÚCLEO DE ASSESSORIA JURÍDICA POPULAR LUIZA MAHIN,"MAHARA VIEIRA TELES,DANIELLA PONTES,MAX ROBERTO SILVA,JULIANA OLIVEIRA TEIXEIRA DE JESUS,VIVIANE CARNEVALE HELLMANN,LUIZA MELLO,MARINA EVANGELISTA,THALIA MARTINS DE ANDRADE,LUANA NOBREGA DE ALCANTARA,LUCAS HENRIQUE JUSTINO DE SOUZA,MARIANA TROTTA DALLALANA QUINTANS,ANA CLAUDIA DIOGO TAVARES,THUANE RODRIGUES NASCIMENTO,MARIA LUÍZA MIRANDA A"
Centro de Ciencias Juridicas e Economicas,4624,ASSESSORIA JURÍDICA UNIVERSITÁRIA POPULAR À OCUPAÇÃO SOLANO TRINDADE/MNLM,"VIVIANE CARNEVALE HELLMANN,MARIA LUÍZA MIRANDA ALEXANDRE,LUCAS HENRIQUE JUSTINO DE SOUZA,MARINA EVANGELISTA,THALIA MARTINS DE ANDRADE,ANA CLAUDIA DIOGO TAVARES,THUANE RODRIGUES NASCIMENTO,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,1167,INDÚSTRIA CULTURAL – TÉCNICA E DOMINAÇÃO. O CASO DO VIDEOGAME,"PEDRO RUBIN COSTA,ANGELA GANEM"
Centro de Ciencias Juridicas e Economicas,2493,UMA ANÁLISE ECONÔMICA DO SISTEMA DE EDUCAÇÃO DA CHINA HOJE,"JOÃO VICTOR GUIMARÃES COSTA,ISABELA NOGUEIRA DE MORAIS"
Centro de Ciencias Juridicas e Economicas,4002,OS DESAFIOS POR TRÁS DO PLANO DE DESINVESTIMENTO DA PETROBRAS,"FERNANDA ALMEIDA RIBEIRO DE JESUS,EDMAR FAGUNDES DE ALMEIDA"
Centro de Ciencias Juridicas e Economicas,4318,A INCLUSÃO SOCIAL E O PROGRAMA BOLSA FAMÍLIA NO CIEP,"PEDRO PAULO GONÇALVES NETO,TAMARA TANIA COHEN EGLER,LALITA KRAUS"
Centro de Ciencias Juridicas e Economicas,4894,ANÁLISE DO INVESTIMENTO EM EDUCAÇÃO A PARTIR DO MARCO ANALÍTICO DOS MODELO DE CRESCIMENTO KEYNESIANOS,"ANA CRISTINA REIF DE PAULA,PHILIP SCHLANGER"
Centro de Ciencias Juridicas e Economicas,5873,BARREIRAS AO DESENVOLVIMENTO DO BRASIL: UMA ANÁLISE TEÓRICA E EMPÍRICA,"FÁBIO BENTZ MACIEL,JOãO FELIPPE CURY CURY MARINHO MATHIAS"
Centro de Ciencias Juridicas e Economicas,1328,NORTE FLUMINENSE: FINANÇAS MUNICIPAIS E DEPENDÊNCIA DO PETRÓLEO,"BERNARDO BRAND,HIPOLITA SIQUEIRA DE OLIVEIRA"
Centro de Ciencias Juridicas e Economicas,2069,CRIPTOMOEDAS - FORMAS VIÁVEIS DE DINHEIRO? UMA BREVE ANÁLISE DAS CARACTERÍSTICAS E FUNÇÕES DA MOEDA COMPARADA ÀS MOEDAS ELETRÔNICAS,"PABLO DIEGO DE ALBUQUERQUE PEREIRA,DANIEL BARREIROS"
Centro de Ciencias Juridicas e Economicas,4314,IMPACTOS DA DIFUSÃO DA INOVAÇÃO NA DINÂMICA ECONÔMICA,"THIAGO SILVA MOREIRA,JULIA PARANHOS"
Centro de Ciencias Juridicas e Economicas,4504,O PROCESSO DE DESINDUSTRIALIZAÇÃO DO SETOR DE ELELTRÔNICA BRASILEIRO,"PAULA BEATRIZ PAGANI ARMBRUST,VICTOR PROCHNIK"
Centro de Ciencias Juridicas e Economicas,5309,REVISITANDO A QUESTÃO DA SUSTENTABILIDADE A PARTIR DA DISCUSSÃO DE ARRANJOS PRODUTIVOS LOCAIS,"ANA CAROLINA DE CASTRO ANDREATTA,JOSÉ EDUARDO CASSIOLATO"
Centro de Ciencias Juridicas e Economicas,956,O INTERCÂMBIO MATERIAL AO LONGO DA EVOLUÇÃO HUMANA: DA COESÃO SOCIAL À GESTÃO DE RECURSOS ESCASSOS.,"DANIEL BARREIROS,BERNARDO NERY DUARTE SÁ"
Centro de Ciencias Juridicas e Economicas,1464,O IMPACTO DO PNAES NA RETENSÃO DE ALUNOS NA EDUCAÇÃO SUPERIOR DO BRASIL,"LUCAS CARVALHO DOS SANTOS,EDUARDO PONTUAL RIBEIRO"
Centro de Ciencias Juridicas e Economicas,1536,A ECONOMIA DA EDUCAÇÃO E O PLANO ESTRATÉGICO INTERNACIONAL: UMA PERSPECTIVA PARADIGMÁTICA,"VICTOR RABELLO AYRES,DANIEL BARREIROS"
Centro de Ciencias Juridicas e Economicas,2944,REESTRUTURAÇÃO DOS SISTEMAS DE SAÚDE NO BRASIL: EVIDÊNCIAS DO PROGRAMA SAÚDE DA FAMÍLIA,"RUDI ROCHA,LIA LORENA KALE RIBEIRO BRAGA"
Centro de Ciencias Juridicas e Economicas,3326,ESTRATÉGIAS DE PRIORIZAÇÃO DE PESQUISA EM SAÚDE: RECOMENDAÇÕES DE ORGANIZAÇÕES INTERNACIONAIS E EXPERIÊNCIAS DE PAÍSES EM SUBDESENVOLVIMENTO,"MAIRA VARGAS,MARIA CECILIA TOMASSINI URTI,JOSÉ EDUARDO CASSIOLATO"
Centro de Ciencias Juridicas e Economicas,3433,MOBILIDADE URBANA E GÊNERO NA REGIÃO METROPOLITANA DO RIO DE JANEIRO,"MARIANA RODEIO,VALÉRIA PERO"
Centro de Ciencias Juridicas e Economicas,2261,OS SERVIÇOS INTENSIVOS EM CONHECIMENTO NO ESTADO DO RIO DE JANEIRO: PROPOSTA DE CLASSIFICAÇÃO PARA PESQUISA EMPÍRICA,"ELISAMA SILVA DE ALMEIDA,RENATA LèBRE LA ROVERE,MICHELLE MALHER JORGE"
Centro de Ciencias Juridicas e Economicas,4411,ESTRATÉGIAS DE DESENVOLVIMENTO SÓCIO-ECONÔMICO NO BRASIL FRENTE A CRISE GLOBAL,"THAMIRIS CORNACCHIA,ALEXIS NICOLAS SALUDJIAN"
Centro de Ciencias Juridicas e Economicas,4507,A EXPERIÊNCIA DE CONSTRUÇÃO DE UMA BASE DE DADOS REGIONALIZADOS PARA OS ÚLTIMOS VINTE ANOS DA ECONOMIA BRASILEIRA,"AILA DE ARAUJO PEREIRA,MARCELO GERSON PESSOA DE MATOS,ISRAEL SANCHES MARCELLINO"
Centro de Ciencias Juridicas e Economicas,4703,POLÍTICAS DE CONCILIAÇÃO TRABALHO -FAMÍLIA NO BRASIL,"LARISSA DOS SANTOS DOMINGUES,CELIA LESSA KERSTENETZKY"
Centro de Ciencias Juridicas e Economicas,4816,E-LIXO COMO INSTRUMENTO DE INCLUSÃO SOCIAL NO MUNDO,"ELIANE RIBEIRO PEREIRA,JOSÉ ROBERTO MAFRA,MAYRA GOMES RIBEIRO DUARTE DE AZEVEDO,ROMAN BERTOLDO,ROBERTO WESTENBERGER,RAFAEL VIEIRA WESTENBERGER,LAURITA HARGREAVES,GONÇALO GUIMARÃES"
Centro de Ciencias Juridicas e Economicas,5294,FINANCEIRIZAÇÃO NO BRASIL: COMO E POR QUE A REDE GLOBO HEGEMONIZA A TEORIA ORTODOXA,"RENAN NONATO DA SILVA ARAÚJO,DENISE LOBATO GENTIL"
Centro de Ciencias Juridicas e Economicas,304,MODELOS DE GESTÃO SOCIAL NO BRASIL,"RICARDO HENRY DIAS ROHM,ANDREZA DE LIMA GONÇALVES,THAÍS MARIA DO NASCIMENTO BENTO"
Centro de Ciencias Juridicas e Economicas,307,O PAPEL DA UNIVERSIDADE NA FORMAÇÃO DE LIDERANÇAS TRANSFORMADORAS,"RICARDO HENRY DIAS ROHM,MARIANA FERREIRA DE NADAI,JOSÉ OTÁVIO MARTINS"
