Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,4295,FORMAÇÃO DE PROMOTORAS LEGAIS POPULARES,"THUANE RODRIGUES NASCIMENTO,SALO DE CARVALHO,IANA GONÇALVES SOARES,MARIANA DE ASSIS BRASIL E WEIGERT,LUMA SILVA PINTO MOTA,LARISSA FREIRE DE OLIVEIRA BARBOSA,MARIANA TROTTA DALLALANA QUINTANS,CRISTIANE BRANDÃO"
Centro de Ciencias Juridicas e Economicas,4572,A IV JORNADA UNIVERSITÁRIA EM DEFESA DA REFORMA AGRÁRIA NA FND: UM DIÁLOGO ENTRE NAJUP LUIZA MAHIN E O MST,"THUANE RODRIGUES NASCIMENTO,ANA CLAUDIA DIOGO TAVARES,ALICE MACIEL,RAFAELLA MOURÃO,IANA GONÇALVES SOARES,MARIANA TROTTA DALLALANA QUINTANS,MARIA LUÍZA MIRANDA"
Centro de Ciencias Juridicas e Economicas,4626,PROJETO DE GERENCIAMENTO DOS SETORES DE ARQUIVO DO COLÉGIO PEDRO II,"VANESSA DE AVILLA ALMEIDA SIMÕES,ANTONIO VICTOR BOTÃO"
Centro de Ciencias Juridicas e Economicas,4707,ASSESSORIA JURÍDICA UNIVERSITÁRIA POPULAR À COMUNIDADE DA ESTRADINHA,"FÁBIO GUERRA,MARINA EVANGELISTA,CAROLINA HENNIG GOMES,THIZA MARRY JACOME GURGEL,MARIANA TROTTA DALLALANA QUINTANS,THUANE RODRIGUES NASCIMENTO,VIVIANE CARNEVALE HELLMANN,ANA CLAUDIA DIOGO TAVARES"
Centro de Ciencias Juridicas e Economicas,5334,UMA MARÉ DE ARTE NA LUTA POR DIREITOS HUMANOS,"PEDRO DE OLIVEIRA DA CUNHA AMORIM DE SOUZA,FRANCISCA GONZALEZ,VANESSA OLIVEIRA BATISTA BERNER"
Centro de Ciencias Juridicas e Economicas,5819,"ANÁLISE DAS DEMANDAS JURÍDICAS DO SEGMENTO T ATRAVEZ DO PROJETO DE EXTENSÃO EDUCAÇÃO, QUESTÕES DE GÊNERO, HOMOFOBIA E DIREITO À CIDADANIA NO NÚCLEO DE PRÁTICA JURÍDICA DA FACULDADE NACIONAL DE DIREITO","MAYARA FONTANA,GEORGIANA LIMA,EDGAR JOAO JUNIO DE SOUSA,TAIS MAGALHAES MARUCCO,MARCOS VINíCIUS TORRES PEREIRA"
Centro de Ciencias Juridicas e Economicas,1010,OS IMPACTOS NA LUCRATIVIDADE DE EMPRESAS OPTANTES PELO SIMPLES NACIONAL INCLUÍDAS NO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA DO ICMS: FOCO NAS EMPRESA DO RAMO DE FERRAGENS NO RIO DE JANEIRO,"FREDERICO OTAVIO SIROTHEAU CAVALCANTE,PRISCILA ARAUJO"
Centro de Ciencias Juridicas e Economicas,2432,AVALIAÇÃO DA EXTENSÃO UNIVERSITÁRIA: ESTUDO DE CASO CURSO DE EXTENSÃO ENERGIA E SOCIEDADE NO CAPITALISMO CONTEMPORÂNEO,"ANA BRAGA,VINÍCIUS BORDIGNON SARMENTO,CARLOS BERNARDO VAINER"
Centro de Ciencias Juridicas e Economicas,3457,PROJETO DE EXTENSÃO “BIBLIOTECA COMUNITÁRIA NA VILA RESIDENCIAL DA UFRJ”,"PATRíCIA MALLMANN SOUTO PEREIRA,ANA MARIA FERREIRA DE CARVALHO,DANILO PESTANA DE FREITAS,LUCIANO RODRIGUES DE SOUZA COUTINHO,NADIR FERREIRA ALVES,HUGO SUZART PINTO,SARA LOPES CORRÊA,TATIANE DA SILVA COSTA,THAYNARA MOTTA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,3785,A COMPETÊNCIA EM INFORMAÇÃO E A EXTENSÃO UNIVERSITÁRIA: UM RELATO DE EXPERIÊNCIA NO CURSO DE INICIAÇÃO CIENTÍFICA EM MEIO AMBIENTE,"ISADORA ESCALANTE,LUIZ BARROS,MARIANNA ZATTAR,NYSIA SÁ"
